id,text_span,label
111111132,foundation of lies,Loaded_Language
111111132,huge,Loaded_Language
111111132,beneficial,"Name_Calling,Labeling"
111111132,a good thing,"Name_Calling,Labeling"
111111132,Bypassing the class left her vulnerable to bullying,Black-and-White_Fallacy
111111132,"“You don’t need to be reading this.
You need to be reading the Bible.”",Black-and-White_Fallacy
111111132,going to hell,Appeal_to_fear-prejudice
111111132,strongly,Loaded_Language
111111132,pretty clear,Loaded_Language
111111132,You are not a Christian,"Name_Calling,Labeling"
111111132,"(Faber was nominated by President George H.W.
Bush.)","Whataboutism,Straw_Men,Red_Herring"
111111132,"very, very",Loaded_Language
111111132,extremely,Loaded_Language
111111132,liberty of conscience is not up for a vote,Slogans
111111132,"If you die tonight.
Heaven or Hell?",Black-and-White_Fallacy
111111124,has blasted,Loaded_Language
111111124,are blasting,Loaded_Language
111111124,a President who cares about nothing about the country and everything about his narrow self-interest,"Name_Calling,Labeling"
111111124,sheer number,"Exaggeration,Minimisation"
111111124,Agencies scramble,Loaded_Language
111111124,were scrambling,Loaded_Language
111111124,has hamstrung the administration for more than 18 months,Loaded_Language
111111124,disgraced former FBI officials,"Name_Calling,Labeling"
111111124,fired FBI Special Agent,"Name_Calling,Labeling"
111111124,are touting the president’s order,Loaded_Language
111111124,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,Causal_Oversimplification
111111124,a red line that must not be crossed,Loaded_Language
111111124,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,Doubt
111111124,a partisan memo,"Name_Calling,Labeling"
111111124,clear abuse of power,"Name_Calling,Labeling"
111111131,unprecedented,Loaded_Language
111111131,surreal,Loaded_Language
111111131,culminated,Loaded_Language
111111131,fulsome,Loaded_Language
111111131,triumphant,Loaded_Language
111111131,extraordinary,Loaded_Language
111111131,rogue kingdom,"Name_Calling,Labeling"
111111131,despotic leader,"Name_Calling,Labeling"
111111131,dramatic,Loaded_Language
111111131,forever,"Exaggeration,Minimisation"
111111131,"Trump's gut-driven, norm-shattering tenure","Name_Calling,Labeling"
111111131,People are going to be very impressed,Black-and-White_Fallacy
111111131,unwavering,Loaded_Language
111111131,brutal dictator,"Name_Calling,Labeling"
111111131,unthinkable,Loaded_Language
111111131,acrimonious,Loaded_Language
111111131,big problem,Loaded_Language
111111131,big dilemma,Loaded_Language
111111131,"Working together, we'll get it taken care of",Slogans
111111131,increasing the drama,Loaded_Language
111111131,historic,Loaded_Language
111111131,surreality,Loaded_Language
111111131,hailed,Loaded_Language
111111131,historic,Repetition
111111131,very talented man,"Name_Calling,Labeling"
111111131,brutal,Loaded_Language
111111131,praising,Loaded_Language
111111131,very talented,Repetition
111111131,brutal dictator,Repetition
111111131,striking,Loaded_Language
111111131,fierce criticism,Loaded_Language
111111131,fearsome renegade,Loaded_Language
111111131,"""absolutely""",Loaded_Language
111111131,heralded a new era,"Exaggeration,Minimisation"
